miki_comfort_16-03,yuval_comfort_20-03-23,yuval_cool_20-03-23,yuval_cold_20-03-23,comfort_yuval_12_01_21C,miki_coldest_17.5c,miki_comfort_20c,cold_yuval_12_01_18C,miki_colder_1m,colder_yuval_12_01_16C
08_39_51_6,2023-03-20_18-21-57_6,2023-03-20_18-42-33_6,2023-03-20_18-55-49_6,,,,,,
08_39_51_7,2023-03-20_18-21-57_7,2023-03-20_18-42-33_7,2023-03-20_18-55-49_7,,,,,,
08_39_51_8,2023-03-20_18-21-57_8,2023-03-20_18-42-33_8,2023-03-20_18-55-49_8,,,,,,
08_39_52_0,2023-03-20_18-21-58_0,2023-03-20_18-42-34_0,2023-03-20_18-55-50_0,,,,,,
08_39_52_1,2023-03-20_18-21-58_1,2023-03-20_18-42-34_1,2023-03-20_18-55-50_1,,,,,,
08_39_52_2,2023-03-20_18-21-58_2,2023-03-20_18-42-34_2,2023-03-20_18-55-50_2,,,,,,
08_39_52_3,2023-03-20_18-21-58_3,2023-03-20_18-42-34_3,2023-03-20_18-55-50_3,,,,,,
08_39_52_4,2023-03-20_18-21-58_4,2023-03-20_18-42-34_4,2023-03-20_18-55-50_4,,,,,,
08_39_52_5,2023-03-20_18-21-58_5,2023-03-20_18-42-34_5,2023-03-20_18-55-50_5,,,,,,
08_39_52_6,2023-03-20_18-21-58_6,2023-03-20_18-42-34_6,2023-03-20_18-55-50_6,,,,,,
08_39_52_7,2023-03-20_18-21-58_7,2023-03-20_18-42-34_7,2023-03-20_18-55-50_7,,,,,,
08_39_52_8,2023-03-20_18-21-58_8,2023-03-20_18-42-34_8,2023-03-20_18-55-50_8,,,,,,
08_39_53_0,2023-03-20_18-21-59_0,2023-03-20_18-42-35_0,2023-03-20_18-55-51_0,,,,,,
08_39_53_1,2023-03-20_18-21-59_1,2023-03-20_18-42-35_1,2023-03-20_18-55-51_1,,,,,,
08_39_53_2,2023-03-20_18-21-59_2,2023-03-20_18-42-35_2,2023-03-20_18-55-51_2,,,,,,
08_39_53_3,2023-03-20_18-21-59_3,2023-03-20_18-42-35_3,2023-03-20_18-55-51_3,,,,,,
08_39_53_4,2023-03-20_18-21-59_4,2023-03-20_18-42-35_4,2023-03-20_18-55-51_4,,,,,,
08_39_53_5,2023-03-20_18-21-59_5,2023-03-20_18-42-35_5,2023-03-20_18-55-51_5,,,,,,
08_39_53_6,2023-03-20_18-21-59_6,2023-03-20_18-42-35_6,2023-03-20_18-55-51_6,,,,,,
08_39_53_7,2023-03-20_18-21-59_7,2023-03-20_18-42-35_7,2023-03-20_18-55-51_7,,,,,,
08_39_53_8,2023-03-20_18-21-59_8,2023-03-20_18-42-35_8,2023-03-20_18-55-51_8,,,,,,
08_39_54_0,2023-03-20_18-22-00_0,2023-03-20_18-42-36_0,2023-03-20_18-55-52_0,,,,,,
08_39_54_1,2023-03-20_18-22-00_1,2023-03-20_18-42-36_1,2023-03-20_18-55-52_1,,,,,,
08_39_54_2,2023-03-20_18-22-00_2,2023-03-20_18-42-36_2,2023-03-20_18-55-52_2,,,,,,
08_39_54_3,2023-03-20_18-22-00_3,2023-03-20_18-42-36_3,2023-03-20_18-55-52_3,,,,,,
08_39_54_4,2023-03-20_18-22-00_4,2023-03-20_18-42-36_4,2023-03-20_18-55-52_4,,,,,,
08_39_54_5,2023-03-20_18-22-00_5,2023-03-20_18-42-36_5,2023-03-20_18-55-52_5,,,,,,
08_39_54_6,2023-03-20_18-22-00_6,2023-03-20_18-42-36_6,2023-03-20_18-55-52_6,,,,,,
08_39_54_7,2023-03-20_18-22-00_7,2023-03-20_18-42-36_7,2023-03-20_18-55-52_7,,,,,,
08_39_54_8,2023-03-20_18-22-00_8,2023-03-20_18-42-36_8,2023-03-20_18-55-52_8,,,,,,
08_39_55_0,2023-03-20_18-22-01_0,2023-03-20_18-42-37_0,2023-03-20_18-55-53_0,,,,,,
08_39_55_1,2023-03-20_18-22-01_1,2023-03-20_18-42-37_1,2023-03-20_18-55-53_1,,,,,,
08_39_55_2,2023-03-20_18-22-01_2,2023-03-20_18-42-37_2,2023-03-20_18-55-53_2,,,,,,
08_39_55_3,2023-03-20_18-22-01_3,2023-03-20_18-42-37_3,2023-03-20_18-55-53_3,,,,,,
08_39_55_4,2023-03-20_18-22-01_4,2023-03-20_18-42-37_4,2023-03-20_18-55-53_4,,,,,,
08_39_55_5,2023-03-20_18-22-01_5,2023-03-20_18-42-37_5,2023-03-20_18-55-53_5,,,,,,
08_39_55_6,2023-03-20_18-22-01_6,2023-03-20_18-42-37_6,2023-03-20_18-55-53_6,,,,,,
08_39_55_7,2023-03-20_18-22-01_7,2023-03-20_18-42-37_7,2023-03-20_18-55-53_7,,,,,,
08_39_55_8,2023-03-20_18-22-01_8,2023-03-20_18-42-37_8,2023-03-20_18-55-53_8,,,,,,
08_39_56_0,2023-03-20_18-22-02_0,2023-03-20_18-42-38_0,2023-03-20_18-55-56_0,,,,,,
08_39_56_1,2023-03-20_18-22-02_1,2023-03-20_18-42-38_1,2023-03-20_18-55-56_1,,,,,,
08_39_56_2,2023-03-20_18-22-02_2,2023-03-20_18-42-38_2,2023-03-20_18-55-56_2,,,,,,
08_39_56_3,2023-03-20_18-22-02_3,2023-03-20_18-42-38_3,2023-03-20_18-55-56_3,,,,,,
08_39_56_4,2023-03-20_18-22-02_4,2023-03-20_18-42-38_4,2023-03-20_18-55-56_4,,,,,,
08_39_56_5,2023-03-20_18-22-02_5,2023-03-20_18-42-38_5,2023-03-20_18-55-56_5,,,,,,
08_39_56_6,2023-03-20_18-22-02_6,2023-03-20_18-42-38_6,2023-03-20_18-55-56_6,,,,,,
08_39_56_7,2023-03-20_18-22-02_7,2023-03-20_18-42-38_7,2023-03-20_18-55-56_7,,,,,,
08_39_56_8,2023-03-20_18-22-02_8,2023-03-20_18-42-38_8,2023-03-20_18-55-56_8,,,,,,
08_39_57_0,2023-03-20_18-22-03_0,2023-03-20_18-42-39_0,2023-03-20_18-55-57_0,,,,,,
08_39_57_1,2023-03-20_18-22-03_1,2023-03-20_18-42-39_1,2023-03-20_18-55-57_1,,,,,,
08_39_57_2,2023-03-20_18-22-03_2,2023-03-20_18-42-39_2,2023-03-20_18-55-57_2,,,,,,
08_39_57_3,2023-03-20_18-22-03_3,2023-03-20_18-42-39_3,2023-03-20_18-55-57_3,,,,,,
08_39_57_4,2023-03-20_18-22-03_4,2023-03-20_18-42-39_4,2023-03-20_18-55-57_4,,,,,,
08_39_57_5,2023-03-20_18-22-03_5,2023-03-20_18-42-39_5,2023-03-20_18-55-57_5,,,,,,
08_39_57_6,2023-03-20_18-22-03_6,2023-03-20_18-42-39_6,2023-03-20_18-55-57_6,,,,,,
08_39_57_7,2023-03-20_18-22-03_7,2023-03-20_18-42-39_7,2023-03-20_18-55-57_7,,,,,,
08_39_57_8,2023-03-20_18-22-03_8,2023-03-20_18-42-39_8,2023-03-20_18-55-57_8,,,,,,
08_39_58_0,2023-03-20_18-22-04_0,2023-03-20_18-42-41_0,2023-03-20_18-55-58_0,,,,,,
08_39_58_1,2023-03-20_18-22-04_1,2023-03-20_18-42-41_1,2023-03-20_18-55-58_1,,,,,,
08_39_58_2,2023-03-20_18-22-04_2,2023-03-20_18-42-41_2,2023-03-20_18-55-58_2,,,,,,
08_39_58_3,2023-03-20_18-22-04_3,2023-03-20_18-42-41_3,2023-03-20_18-55-58_3,,,,,,
08_39_58_4,2023-03-20_18-22-04_4,2023-03-20_18-42-41_4,2023-03-20_18-55-58_4,,,,,,
08_39_58_5,2023-03-20_18-22-04_5,2023-03-20_18-42-41_5,2023-03-20_18-55-58_5,,,,,,
08_39_58_6,2023-03-20_18-22-04_6,2023-03-20_18-42-41_6,2023-03-20_18-55-58_6,,,,,,
08_39_58_7,2023-03-20_18-22-04_7,2023-03-20_18-42-41_7,2023-03-20_18-55-58_7,,,,,,
08_39_58_8,2023-03-20_18-22-04_8,2023-03-20_18-42-41_8,2023-03-20_18-55-58_8,,,,,,
08_39_59_0,2023-03-20_18-22-05_0,2023-03-20_18-42-42_0,2023-03-20_18-55-59_0,,,,,,
08_39_59_1,2023-03-20_18-22-05_1,2023-03-20_18-42-42_1,2023-03-20_18-55-59_1,,,,,,
08_39_59_2,2023-03-20_18-22-05_2,2023-03-20_18-42-42_2,2023-03-20_18-55-59_2,,,,,,
08_39_59_3,2023-03-20_18-22-05_3,2023-03-20_18-42-42_3,2023-03-20_18-55-59_3,,,,,,
08_39_59_4,2023-03-20_18-22-05_4,2023-03-20_18-42-42_4,2023-03-20_18-55-59_4,,,,,,
08_39_59_5,2023-03-20_18-22-05_5,2023-03-20_18-42-42_5,2023-03-20_18-55-59_5,,,,,,
08_39_59_6,2023-03-20_18-22-05_6,2023-03-20_18-42-42_6,2023-03-20_18-55-59_6,,,,,,
08_39_59_7,2023-03-20_18-22-05_7,2023-03-20_18-42-42_7,2023-03-20_18-55-59_7,,,,,,
08_39_59_8,2023-03-20_18-22-05_8,2023-03-20_18-42-42_8,2023-03-20_18-55-59_8,,,,,,
08_40_00_0,2023-03-20_18-22-06_0,2023-03-20_18-42-43_0,2023-03-20_18-56-00_0,,,,,,
08_40_00_1,2023-03-20_18-22-06_1,2023-03-20_18-42-43_1,2023-03-20_18-56-00_1,,,,,,
08_40_00_2,2023-03-20_18-22-06_2,2023-03-20_18-42-43_2,2023-03-20_18-56-00_2,,,,,,
08_40_00_3,2023-03-20_18-22-06_3,2023-03-20_18-42-43_3,2023-03-20_18-56-00_3,,,,,,
08_40_00_4,2023-03-20_18-22-06_4,2023-03-20_18-42-43_4,2023-03-20_18-56-00_4,,,,,,
08_40_00_5,2023-03-20_18-22-06_5,2023-03-20_18-42-43_5,2023-03-20_18-56-00_5,,,,,,
08_40_00_6,2023-03-20_18-22-06_6,2023-03-20_18-42-43_6,2023-03-20_18-56-00_6,,,,,,
08_40_00_7,2023-03-20_18-22-06_7,2023-03-20_18-42-43_7,2023-03-20_18-56-00_7,,,,,,
08_40_00_8,2023-03-20_18-22-06_8,2023-03-20_18-42-43_8,2023-03-20_18-56-00_8,,,,,,
08_40_01_0,2023-03-20_18-22-07_0,2023-03-20_18-42-44_0,2023-03-20_18-56-01_0,,,,,,
08_40_01_1,2023-03-20_18-22-07_1,2023-03-20_18-42-44_1,2023-03-20_18-56-01_1,,,,,,
08_40_01_2,2023-03-20_18-22-07_2,2023-03-20_18-42-44_2,2023-03-20_18-56-01_2,,,,,,
08_40_01_3,2023-03-20_18-22-07_3,2023-03-20_18-42-44_3,2023-03-20_18-56-01_3,,,,,,
08_40_01_4,2023-03-20_18-22-07_4,2023-03-20_18-42-44_4,2023-03-20_18-56-01_4,,,,,,
08_40_01_5,2023-03-20_18-22-07_5,2023-03-20_18-42-44_5,2023-03-20_18-56-01_5,,,,,,
08_40_01_6,2023-03-20_18-22-07_6,2023-03-20_18-42-44_6,2023-03-20_18-56-01_6,,,,,,
08_40_01_7,2023-03-20_18-22-07_7,2023-03-20_18-42-44_7,2023-03-20_18-56-01_7,,,,,,
08_40_01_8,2023-03-20_18-22-07_8,2023-03-20_18-42-44_8,2023-03-20_18-56-01_8,,,,,,
08_40_02_0,2023-03-20_18-22-08_0,2023-03-20_18-42-45_0,2023-03-20_18-56-02_0,,,,,,
08_40_02_1,2023-03-20_18-22-08_1,2023-03-20_18-42-45_1,2023-03-20_18-56-02_1,,,,,,
08_40_02_2,2023-03-20_18-22-08_2,2023-03-20_18-42-45_2,2023-03-20_18-56-02_2,,,,,,
08_40_02_3,2023-03-20_18-22-08_3,2023-03-20_18-42-45_3,2023-03-20_18-56-02_3,,,,,,
08_40_02_4,2023-03-20_18-22-08_4,2023-03-20_18-42-45_4,2023-03-20_18-56-02_4,,,,,,
08_40_02_5,2023-03-20_18-22-08_5,2023-03-20_18-42-45_5,2023-03-20_18-56-02_5,,,,,,
08_40_02_6,2023-03-20_18-22-08_6,2023-03-20_18-42-45_6,2023-03-20_18-56-02_6,,,,,,
08_40_02_7,2023-03-20_18-22-08_7,2023-03-20_18-42-45_7,2023-03-20_18-56-02_7,,,,,,
08_40_02_8,2023-03-20_18-22-08_8,2023-03-20_18-42-45_8,2023-03-20_18-56-02_8,,,,,,
08_40_03_0,2023-03-20_18-22-09_0,2023-03-20_18-42-46_0,2023-03-20_18-56-03_0,,,,,,
08_40_03_1,2023-03-20_18-22-09_1,2023-03-20_18-42-46_1,2023-03-20_18-56-03_1,,,,,,
08_40_03_2,2023-03-20_18-22-09_2,2023-03-20_18-42-46_2,2023-03-20_18-56-03_2,,,,,,
08_40_03_3,2023-03-20_18-22-09_3,2023-03-20_18-42-46_3,2023-03-20_18-56-03_3,,,,,,
08_40_03_4,2023-03-20_18-22-09_4,2023-03-20_18-42-46_4,2023-03-20_18-56-03_4,,,,,,
08_40_03_5,2023-03-20_18-22-09_5,2023-03-20_18-42-46_5,2023-03-20_18-56-03_5,,,,,,
08_40_03_6,2023-03-20_18-22-09_6,2023-03-20_18-42-46_6,2023-03-20_18-56-03_6,,,,,,
08_40_03_7,2023-03-20_18-22-09_7,2023-03-20_18-42-46_7,2023-03-20_18-56-03_7,,,,,,
08_40_03_8,2023-03-20_18-22-09_8,2023-03-20_18-42-46_8,2023-03-20_18-56-03_8,,,,,,
08_40_04_0,2023-03-20_18-22-10_0,2023-03-20_18-42-47_0,2023-03-20_18-56-04_0,,,,,,
08_40_04_1,2023-03-20_18-22-10_1,2023-03-20_18-42-47_1,2023-03-20_18-56-04_1,,,,,,
08_40_04_2,2023-03-20_18-22-10_2,2023-03-20_18-42-47_2,2023-03-20_18-56-04_2,,,,,,
08_40_04_3,2023-03-20_18-22-10_3,2023-03-20_18-42-47_3,2023-03-20_18-56-04_3,,,,,,
08_40_04_4,2023-03-20_18-22-10_4,2023-03-20_18-42-47_4,2023-03-20_18-56-04_4,,,,,,
08_40_04_5,2023-03-20_18-22-10_5,2023-03-20_18-42-47_5,2023-03-20_18-56-04_5,,,,,,
08_40_04_6,2023-03-20_18-22-10_6,2023-03-20_18-42-47_6,2023-03-20_18-56-04_6,,,,,,
08_40_04_7,2023-03-20_18-22-10_7,2023-03-20_18-42-47_7,2023-03-20_18-56-04_7,,,,,,
08_40_04_8,2023-03-20_18-22-10_8,2023-03-20_18-42-47_8,2023-03-20_18-56-04_8,,,,,,
08_40_05_0,2023-03-20_18-22-11_0,2023-03-20_18-42-48_0,2023-03-20_18-56-05_0,,,,,,
08_40_05_1,2023-03-20_18-22-11_1,2023-03-20_18-42-48_1,2023-03-20_18-56-05_1,,,,,,
08_40_05_2,2023-03-20_18-22-11_2,2023-03-20_18-42-48_2,2023-03-20_18-56-05_2,,,,,,
08_40_05_3,2023-03-20_18-22-11_3,2023-03-20_18-42-48_3,2023-03-20_18-56-05_3,,,,,,
08_40_05_4,2023-03-20_18-22-11_4,2023-03-20_18-42-48_4,2023-03-20_18-56-05_4,,,,,,
08_40_05_5,2023-03-20_18-22-11_5,2023-03-20_18-42-48_5,2023-03-20_18-56-05_5,,,,,,
08_40_05_6,2023-03-20_18-22-11_6,2023-03-20_18-42-48_6,2023-03-20_18-56-05_6,,,,,,
08_40_05_7,2023-03-20_18-22-11_7,2023-03-20_18-42-48_7,2023-03-20_18-56-05_7,,,,,,
08_40_05_8,2023-03-20_18-22-11_8,2023-03-20_18-42-48_8,2023-03-20_18-56-05_8,,,,,,
08_40_06_0,2023-03-20_18-22-12_0,2023-03-20_18-42-49_0,2023-03-20_18-56-06_0,,,,,,
08_40_06_1,2023-03-20_18-22-12_1,2023-03-20_18-42-49_1,2023-03-20_18-56-06_1,,,,,,
08_40_06_2,2023-03-20_18-22-12_2,2023-03-20_18-42-49_2,2023-03-20_18-56-06_2,,,,,,
08_40_06_3,2023-03-20_18-22-12_3,2023-03-20_18-42-49_3,2023-03-20_18-56-06_3,,,,,,
08_40_06_4,2023-03-20_18-22-12_4,2023-03-20_18-42-49_4,2023-03-20_18-56-06_4,,,,,,
08_40_06_5,2023-03-20_18-22-12_5,2023-03-20_18-42-49_5,2023-03-20_18-56-06_5,,,,,,
08_40_06_6,2023-03-20_18-22-12_6,2023-03-20_18-42-49_6,2023-03-20_18-56-06_6,,,,,,
08_40_06_7,2023-03-20_18-22-12_7,2023-03-20_18-42-49_7,2023-03-20_18-56-06_7,,,,,,
08_40_06_8,2023-03-20_18-22-12_8,2023-03-20_18-42-49_8,2023-03-20_18-56-06_8,,,,,,
08_40_07_0,2023-03-20_18-22-13_0,2023-03-20_18-42-50_0,2023-03-20_18-56-07_0,,,,,,
08_40_07_1,2023-03-20_18-22-13_1,2023-03-20_18-42-50_1,2023-03-20_18-56-07_1,,,,,,
08_40_07_2,2023-03-20_18-22-13_2,2023-03-20_18-42-50_2,2023-03-20_18-56-07_2,,,,,,
08_40_07_3,2023-03-20_18-22-13_3,2023-03-20_18-42-50_3,2023-03-20_18-56-07_3,,,,,,
08_40_07_4,2023-03-20_18-22-13_4,2023-03-20_18-42-50_4,2023-03-20_18-56-07_4,,,,,,
08_40_07_5,2023-03-20_18-22-13_5,2023-03-20_18-42-50_5,2023-03-20_18-56-07_5,,,,,,
08_40_07_6,2023-03-20_18-22-13_6,2023-03-20_18-42-50_6,2023-03-20_18-56-07_6,,,,,,
08_40_07_7,2023-03-20_18-22-13_7,2023-03-20_18-42-50_7,2023-03-20_18-56-07_7,,,,,,
08_40_07_8,2023-03-20_18-22-13_8,2023-03-20_18-42-50_8,2023-03-20_18-56-07_8,,,,,,
08_40_08_0,2023-03-20_18-22-14_0,2023-03-20_18-42-51_0,2023-03-20_18-56-08_0,,,,,,
08_40_08_1,2023-03-20_18-22-14_1,2023-03-20_18-42-51_1,2023-03-20_18-56-08_1,,,,,,
08_40_08_2,2023-03-20_18-22-14_2,2023-03-20_18-42-51_2,2023-03-20_18-56-08_2,,,,,,
08_40_08_3,2023-03-20_18-22-14_3,2023-03-20_18-42-51_3,2023-03-20_18-56-08_3,,,,,,
08_40_08_4,2023-03-20_18-22-14_4,2023-03-20_18-42-51_4,2023-03-20_18-56-08_4,,,,,,
08_40_08_5,2023-03-20_18-22-14_5,2023-03-20_18-42-51_5,2023-03-20_18-56-08_5,,,,,,
08_40_08_6,2023-03-20_18-22-14_6,2023-03-20_18-42-51_6,2023-03-20_18-56-08_6,,,,,,
08_40_08_7,2023-03-20_18-22-14_7,2023-03-20_18-42-51_7,2023-03-20_18-56-08_7,,,,,,
08_40_08_8,2023-03-20_18-22-14_8,2023-03-20_18-42-51_8,2023-03-20_18-56-08_8,,,,,,
08_40_09_0,2023-03-20_18-22-15_0,2023-03-20_18-42-53_0,2023-03-20_18-56-09_0,,,,,,
08_40_09_1,2023-03-20_18-22-15_1,2023-03-20_18-42-53_1,2023-03-20_18-56-09_1,,,,,,
08_40_09_2,2023-03-20_18-22-15_2,2023-03-20_18-42-53_2,2023-03-20_18-56-09_2,,,,,,
08_40_09_3,2023-03-20_18-22-15_3,2023-03-20_18-42-53_3,2023-03-20_18-56-09_3,,,,,,
08_40_09_4,2023-03-20_18-22-15_4,2023-03-20_18-42-53_4,2023-03-20_18-56-09_4,,,,,,
08_40_09_5,2023-03-20_18-22-15_5,2023-03-20_18-42-53_5,2023-03-20_18-56-09_5,,,,,,
08_40_09_6,2023-03-20_18-22-15_6,2023-03-20_18-42-53_6,2023-03-20_18-56-09_6,,,,,,
08_40_09_7,2023-03-20_18-22-15_7,2023-03-20_18-42-53_7,2023-03-20_18-56-09_7,,,,,,
08_40_09_8,2023-03-20_18-22-15_8,2023-03-20_18-42-53_8,2023-03-20_18-56-09_8,,,,,,
08_40_10_0,2023-03-20_18-22-16_0,2023-03-20_18-42-54_0,2023-03-20_18-56-10_0,,,,,,
08_40_10_1,2023-03-20_18-22-16_1,2023-03-20_18-42-54_1,2023-03-20_18-56-10_1,,,,,,
08_40_10_2,2023-03-20_18-22-16_2,2023-03-20_18-42-54_2,2023-03-20_18-56-10_2,,,,,,
08_40_10_3,2023-03-20_18-22-16_3,2023-03-20_18-42-54_3,2023-03-20_18-56-10_3,,,,,,
08_40_10_4,2023-03-20_18-22-16_4,2023-03-20_18-42-54_4,2023-03-20_18-56-10_4,,,,,,
08_40_10_5,2023-03-20_18-22-16_5,2023-03-20_18-42-54_5,2023-03-20_18-56-10_5,,,,,,
08_40_10_6,2023-03-20_18-22-16_6,2023-03-20_18-42-54_6,2023-03-20_18-56-10_6,,,,,,
08_40_10_7,2023-03-20_18-22-16_7,2023-03-20_18-42-54_7,2023-03-20_18-56-10_7,,,,,,
08_40_10_8,2023-03-20_18-22-16_8,2023-03-20_18-42-54_8,2023-03-20_18-56-10_8,,,,,,
08_40_11_0,2023-03-20_18-22-17_0,2023-03-20_18-42-55_0,2023-03-20_18-56-11_0,,,,,,
08_40_11_1,2023-03-20_18-22-17_1,2023-03-20_18-42-55_1,2023-03-20_18-56-11_1,,,,,,
08_40_11_2,2023-03-20_18-22-17_2,2023-03-20_18-42-55_2,2023-03-20_18-56-11_2,,,,,,
08_40_11_3,2023-03-20_18-22-17_3,2023-03-20_18-42-55_3,2023-03-20_18-56-11_3,,,,,,
08_40_11_4,2023-03-20_18-22-17_4,2023-03-20_18-42-55_4,2023-03-20_18-56-11_4,,,,,,
08_40_11_5,2023-03-20_18-22-17_5,2023-03-20_18-42-55_5,2023-03-20_18-56-11_5,,,,,,
08_40_11_6,2023-03-20_18-22-17_6,2023-03-20_18-42-55_6,2023-03-20_18-56-11_6,,,,,,
08_40_11_7,2023-03-20_18-22-17_7,2023-03-20_18-42-55_7,2023-03-20_18-56-11_7,,,,,,
08_40_11_8,2023-03-20_18-22-17_8,2023-03-20_18-42-55_8,2023-03-20_18-56-11_8,,,,,,
08_40_12_0,2023-03-20_18-22-18_0,2023-03-20_18-42-56_0,2023-03-20_18-56-12_0,,,,,,
08_40_12_1,2023-03-20_18-22-18_1,2023-03-20_18-42-56_1,2023-03-20_18-56-12_1,,,,,,
08_40_12_2,2023-03-20_18-22-18_2,2023-03-20_18-42-56_2,2023-03-20_18-56-12_2,,,,,,
08_40_12_3,2023-03-20_18-22-18_3,2023-03-20_18-42-56_3,2023-03-20_18-56-12_3,,,,,,
08_40_12_4,2023-03-20_18-22-18_4,2023-03-20_18-42-56_4,2023-03-20_18-56-12_4,,,,,,
08_40_12_5,2023-03-20_18-22-18_5,2023-03-20_18-42-56_5,2023-03-20_18-56-12_5,,,,,,
08_40_12_6,2023-03-20_18-22-18_6,2023-03-20_18-42-56_6,2023-03-20_18-56-12_6,,,,,,
08_40_12_7,2023-03-20_18-22-18_7,2023-03-20_18-42-56_7,2023-03-20_18-56-12_7,,,,,,
08_40_12_8,2023-03-20_18-22-18_8,2023-03-20_18-42-56_8,2023-03-20_18-56-12_8,,,,,,
08_40_13_0,2023-03-20_18-22-20_0,2023-03-20_18-42-58_0,2023-03-20_18-56-13_0,,,,,,
08_40_13_1,2023-03-20_18-22-20_1,2023-03-20_18-42-58_1,2023-03-20_18-56-13_1,,,,,,
08_40_13_2,2023-03-20_18-22-20_2,2023-03-20_18-42-58_2,2023-03-20_18-56-13_2,,,,,,
08_40_13_3,2023-03-20_18-22-20_3,2023-03-20_18-42-58_3,2023-03-20_18-56-13_3,,,,,,
08_40_13_4,2023-03-20_18-22-20_4,2023-03-20_18-42-58_4,2023-03-20_18-56-13_4,,,,,,
08_40_13_5,2023-03-20_18-22-20_5,2023-03-20_18-42-58_5,2023-03-20_18-56-13_5,,,,,,
08_40_13_6,2023-03-20_18-22-20_6,2023-03-20_18-42-58_6,2023-03-20_18-56-13_6,,,,,,
08_40_13_7,2023-03-20_18-22-20_7,2023-03-20_18-42-58_7,2023-03-20_18-56-13_7,,,,,,
08_40_13_8,2023-03-20_18-22-20_8,2023-03-20_18-42-58_8,2023-03-20_18-56-13_8,,,,,,
08_40_14_0,2023-03-20_18-22-21_0,2023-03-20_18-42-59_0,2023-03-20_18-56-14_0,,,,,,
08_40_14_1,2023-03-20_18-22-21_1,2023-03-20_18-42-59_1,2023-03-20_18-56-14_1,,,,,,
08_40_14_2,2023-03-20_18-22-21_2,2023-03-20_18-42-59_2,2023-03-20_18-56-14_2,,,,,,
08_40_14_3,2023-03-20_18-22-21_3,2023-03-20_18-42-59_3,2023-03-20_18-56-14_3,,,,,,
08_40_14_4,2023-03-20_18-22-21_4,2023-03-20_18-42-59_4,2023-03-20_18-56-14_4,,,,,,
08_40_14_5,2023-03-20_18-22-21_5,2023-03-20_18-42-59_5,2023-03-20_18-56-14_5,,,,,,
08_40_14_6,2023-03-20_18-22-21_6,2023-03-20_18-42-59_6,2023-03-20_18-56-14_6,,,,,,
08_40_14_7,2023-03-20_18-22-21_7,2023-03-20_18-42-59_7,2023-03-20_18-56-14_7,,,,,,
08_40_14_8,2023-03-20_18-22-21_8,2023-03-20_18-42-59_8,2023-03-20_18-56-14_8,,,,,,
08_40_15_0,2023-03-20_18-22-22_0,2023-03-20_18-43-00_0,2023-03-20_18-56-15_0,,,,,,
08_40_15_1,2023-03-20_18-22-22_1,2023-03-20_18-43-00_1,2023-03-20_18-56-15_1,,,,,,
08_40_15_2,2023-03-20_18-22-22_2,2023-03-20_18-43-00_2,2023-03-20_18-56-15_2,,,,,,
08_40_15_3,2023-03-20_18-22-22_3,2023-03-20_18-43-00_3,2023-03-20_18-56-15_3,,,,,,
08_40_15_4,2023-03-20_18-22-22_4,2023-03-20_18-43-00_4,2023-03-20_18-56-15_4,,,,,,
08_40_15_5,2023-03-20_18-22-22_5,2023-03-20_18-43-00_5,2023-03-20_18-56-15_5,,,,,,
08_40_15_6,2023-03-20_18-22-22_6,2023-03-20_18-43-00_6,2023-03-20_18-56-15_6,,,,,,
08_40_15_7,2023-03-20_18-22-22_7,2023-03-20_18-43-00_7,2023-03-20_18-56-15_7,,,,,,
08_40_15_8,2023-03-20_18-22-22_8,2023-03-20_18-43-00_8,2023-03-20_18-56-15_8,,,,,,
08_40_16_0,2023-03-20_18-22-23_0,2023-03-20_18-43-01_0,2023-03-20_18-56-16_0,,,,,,
08_40_16_1,2023-03-20_18-22-23_1,2023-03-20_18-43-01_1,2023-03-20_18-56-16_1,,,,,,
08_40_16_2,2023-03-20_18-22-23_2,2023-03-20_18-43-01_2,2023-03-20_18-56-16_2,,,,,,
08_40_16_3,2023-03-20_18-22-23_3,2023-03-20_18-43-01_3,2023-03-20_18-56-16_3,,,,,,
08_40_16_4,2023-03-20_18-22-23_4,2023-03-20_18-43-01_4,2023-03-20_18-56-16_4,,,,,,
08_40_16_5,2023-03-20_18-22-23_5,2023-03-20_18-43-01_5,2023-03-20_18-56-16_5,,,,,,
08_40_16_6,2023-03-20_18-22-23_6,2023-03-20_18-43-01_6,2023-03-20_18-56-16_6,,,,,,
08_40_16_7,2023-03-20_18-22-23_7,2023-03-20_18-43-01_7,2023-03-20_18-56-16_7,,,,,,
08_40_16_8,2023-03-20_18-22-23_8,2023-03-20_18-43-01_8,2023-03-20_18-56-16_8,,,,,,
08_40_17_0,2023-03-20_18-22-24_0,2023-03-20_18-43-02_0,2023-03-20_18-56-18_0,,,,,,
08_40_17_1,2023-03-20_18-22-24_1,2023-03-20_18-43-02_1,2023-03-20_18-56-18_1,,,,,,
08_40_17_2,2023-03-20_18-22-24_2,2023-03-20_18-43-02_2,2023-03-20_18-56-18_2,,,,,,
08_40_17_3,2023-03-20_18-22-24_3,2023-03-20_18-43-02_3,2023-03-20_18-56-18_3,,,,,,
08_40_17_4,2023-03-20_18-22-24_4,2023-03-20_18-43-02_4,2023-03-20_18-56-18_4,,,,,,
08_40_17_5,2023-03-20_18-22-24_5,2023-03-20_18-43-02_5,2023-03-20_18-56-18_5,,,,,,
08_40_17_6,2023-03-20_18-22-24_6,2023-03-20_18-43-02_6,2023-03-20_18-56-18_6,,,,,,
